estimand,cohort,phenotype,n_intervals,n_persons,outcome_events,weighted_outcome_percent,weighted_age_mean,weighted_female_percent,weighted_partnered_percent,weighted_low_education_percent,weighted_baseline_depressive_score_mean,weighted_noncancer_comorbidity_mean,weighted_current_smoking_percent,weighted_lowest_wealth_quintile_percent,weighted_mobility_count_mean,weighted_adl_count_mean,core_covariate_complete_percent
onset,HRS,neither,33234,12899,1872,5.00515872858319,64.9822971945167,50.9496856593634,69.1167300755379,12.544405505228,0.531251687608657,1.3282324798605,10.5767135900315,12.9815232299919,0.419790555889326,0.0504646665742139,99.4463501233676
onset,HRS,cancer_only,5060,2201,338,5.70700299964492,70.3104090395028,54.112354410866,66.0692985660946,12.0153938197536,0.568337985381173,1.7147207387349,6.89683419334928,11.6884248985813,0.609107919847879,0.0833228063940928,99.5059288537549
onset,HRS,pain_only,16988,8511,2258,12.2916191959152,65.3633460421167,57.5115994197963,65.087680370934,17.3259748434158,1.01059639737477,2.03029677243769,14.0738256662029,18.9922629213384,1.37295247804585,0.33148339611065,99.4937603013892
onset,HRS,cancer_and_pain,3161,1641,413,11.9337831144876,69.5873739119533,57.6916641341897,67.84662235348,15.5834169829012,0.997988143987643,2.28496680272903,9.16029487266325,16.4591262611564,1.64394169371996,0.385305190035753,99.4938310661183
onset,SHARE,neither,36502,31465,4660,12.9473960592827,63.7353396920844,44.5013194373604,73.0375850624702,30.0278552094367,1.12143464819754,0.864677109024839,18.5285850323846,17.7355875330449,0.344750869024574,0.0520512950263545,99.2630540792285
onset,SHARE,cancer_only,3282,2854,460,16.5302333750904,68.9735952104753,46.4787483564632,72.2423248294412,23.6356132835362,1.29948827736729,1.21055354789001,13.5831223354042,16.5333825161643,0.61769587725389,0.117134598352759,99.1468616697136
onset,SHARE,pain_only,20581,18703,4686,23.4389645323205,66.0851362576363,53.6817646391245,69.4517366379667,43.6794354305357,1.5837228887892,1.55817546958676,17.3694278452464,20.7831440886763,1.31200919004267,0.180881720304965,99.0573830231767
onset,SHARE,cancer_and_pain,2313,2121,585,25.9143565720993,69.7311381842122,60.2909422639406,69.9016826299141,34.9032041319461,1.64479117551596,1.78337856796965,12.8007594678647,21.1290861423653,1.5512740599226,0.254359779966234,98.8326848249027
onset,CHARLS,neither,16354,9688,3210,18.304414239335,61.8677649091141,43.0603532439319,87.8990817567662,81.4299586695957,4.1285129212671,0.896285706875072,28.8174226132138,17.8846857125799,0.724593298564866,0.0554138453065412,71.8295218295218
onset,CHARLS,cancer_only,167,105,24,11.6111826618292,63.3933565526389,62.7732033737688,85.7597660374471,83.0485700531919,3.90646432729507,1.03233387049434,11.2442049345016,14.3202100251471,0.886222383172482,0.0379181539626651,68.2634730538922
onset,CHARLS,pain_only,4570,3803,1502,31.9205757730948,62.2414727751371,55.2991661744427,85.8506020551306,88.7642547720898,5.37946657802606,1.23540089972445,23.743451863494,20.2285232573425,1.63548637699115,0.204484859840279,72.7133479212254
onset,CHARLS,cancer_and_pain,62,52,27,46.3620434688211,62.6401524294316,65.6543236172989,78.945769687034,90.4946347731213,5.79888391449358,1.76008826864441,17.816892365575,25.8253843891617,1.53658005379546,0.220359292369661,69.3548387096774
persistence,HRS,neither,2814,2111,1201,41.0244122135139,64.595820732317,58.8532516290929,46.3926116533362,23.3511630857463,5.37577571249242,1.70881141817698,19.5699741480607,10.7371601297329,1.00123260985645,0.259631291086497,99.6446339729922
persistence,HRS,cancer_only,440,342,206,47.5198987968028,70.9832675404531,61.0002137031909,41.2163502915829,19.8118375423051,5.37199276225643,2.06654782828143,12.1804488617617,10.958226768302,1.2462564618453,0.303011023640057,99.5454545454546
persistence,HRS,pain_only,5799,3365,3459,58.5712935959812,63.6879884693702,64.1788639435984,47.4666044527481,32.0450850331408,5.72266259571036,2.44349988799681,26.9773542231758,18.183537997571,2.41644124162152,1.0083420735241,99.3102259010174
persistence,HRS,cancer_and_pain,1034,642,615,58.6963719926572,66.6181551887361,62.7442307770881,43.4728366373368,27.5090468897758,5.61453038771648,2.94025469351152,20.2275182891726,16.4668184753644,2.72597418171326,1.0829998161338,99.4197292069633
persistence,SHARE,neither,6749,6515,3143,46.8639567252329,64.5912629930829,63.1231941238997,60.9290972107064,40.4733574105265,5.17291552984997,1.19507324691464,21.5220095229169,20.067770058609,0.860692462801696,0.199831380108245,98.3404948881316
persistence,SHARE,cancer_only,800,772,397,52.8058669693714,69.7802319954849,66.3422968528777,63.5254084103705,33.7820088711112,5.12562044998295,1.48118469303225,14.7011929544153,18.6826767224334,1.16872740380967,0.242658800629843,99
persistence,SHARE,pain_only,12509,11548,7596,61.5813219370037,67.6951956396502,71.963443886125,58.3972697927439,55.8308126687445,5.72096155786942,1.95099038166987,18.896664152567,20.9436062713111,2.16406455130727,0.554101798804109,98.6729554720601
persistence,SHARE,cancer_and_pain,1808,1677,1178,66.6057643139113,69.8632277042405,72.4141862885161,58.7333535241036,49.9374478937208,5.90969163326153,2.15955976595531,15.3774949758702,19.0738866013891,2.450343727853,0.610918875270578,98.3407079646018
persistence,CHARLS,neither,4828,3977,2487,51.5858227759291,62.5726633124058,56.7306588346651,80.8270184612375,91.2409906994086,13.8453176324728,1.15961500826033,26.3656075538008,20.9000680457513,1.46976325637206,0.20293929610058,74.8550124275062
persistence,CHARLS,cancer_only,47,45,20,40.2970416664872,62.4667664184881,62.6471903023335,85.697284094138,90.4482599832222,14.3574534798936,1.84821194034154,22.0236077560405,36.0949760107352,2.06203253077746,0.165876013878149,74.468085106383
persistence,CHARLS,pain_only,6311,4402,4184,65.9296515077038,62.3891613533626,65.967441801386,80.3468028979075,94.4565810233,16.0301232083607,1.52155465817463,20.4274619051473,23.6894788758234,2.38545348355536,0.521095482630579,76.1527491681192
persistence,CHARLS,cancer_and_pain,91,71,62,66.4673766551091,61.2040893655133,76.6289744627325,83.2420532791146,93.8171072452442,17.3610102669192,1.92147598929858,12.3085425402767,37.0771025511715,2.40691992649595,0.427997015163204,76.9230769230769
