"phenotype","estimate","se","conf_low","conf_high","df","dfcom","m","within_variance","between_variance","mcse"
"neither",0.480893625831018,0.013279052508931,0.454303755692843,0.507483495969192,57.0964882342221,59,20,0.000176332352413701,8.41067853053156e-10,6.48485872264445e-06
"cancer_only",0.598490118748731,0.0284130075567335,0.541596140085472,0.655384097411991,57.096666585211,59,20,0.0008072974769388,1.449028755268e-09,8.51184103254989e-06
"pain_only",0.588348029677051,0.0093689062043609,0.569587804731138,0.607108254622965,57.096352365956,59,20,8.77757549936289e-05,6.17592841281206e-10,5.5569453896957e-06
"cancer_and_pain",0.620020903132792,0.0172178913788273,0.585543928843464,0.654497877422119,57.0961647322156,59,20,0.000296452619211742,3.01363938518651e-09,1.22752584192483e-05
