"contrast","estimate","se","conf_low","conf_high","df","dfcom","m","within_variance","between_variance","mcse"
"cancer_and_pain_vs_neither",0.139127277301774,0.022165385396492,0.0947434843773833,0.183511070226165,57.0964992799582,59,20,0.000491301944242478,2.25288813660929e-09,1.06134069379471e-05
"cancer_and_pain_vs_cancer_only",0.0215307843840601,0.0324316338723846,-0.043410061214567,0.0864716299826871,57.0965933776642,59,20,0.0010518075447559,3.17226333632855e-09,1.25941719384971e-05
"pain_only_vs_neither",0.107454403846033,0.0165493315344008,0.074316148691642,0.140592659000425,57.0961651249708,59,20,0.000273877452764283,2.78235355126805e-09,1.17948157070555e-05
"cancer_only_vs_neither",0.117596492917714,0.029515357163014,0.0584951789135546,0.176697806921873,57.0966968508708,59,20,0.000871155128406099,1.12386112721593e-09,7.49620279613596e-06
"pain_only_vs_cancer_only",-0.0101420890716804,0.0290874519280166,-0.0683865723433783,0.0481023942000176,57.0965486156286,59,20,0.000846076517012284,3.18347846807395e-09,1.26164148395532e-05
