"phenotype","estimate","se","conf_low","conf_high","df","dfcom","m","within_variance","between_variance","mcse"
"neither",0.0609951717770742,0.00187589430964033,0.0572388960203964,0.064751447533752,57.0966509462297,59,20,3.51897186503074e-06,7.23420019836626e-12,6.01423320065254e-07
"cancer_only",0.0662088789184811,0.0047719999297422,0.056653464664377,0.0757642931725851,57.0967129932486,59,20,2.27719589209402e-05,2.32462088900888e-11,1.07810502480252e-06
"pain_only",0.0903173328277512,0.00308939667824208,0.0841311494217287,0.0965035162337738,57.0965589544883,59,20,9.54433585629655e-06,3.42659396876802e-11,1.3089297094894e-06
"cancer_and_pain",0.0900031345686712,0.0061535458798171,0.0776813234849187,0.102324945652424,57.0966406119232,59,20,3.78660383053646e-05,8.4371094655845e-11,2.05391205575902e-06
