"contrast","estimate","se","conf_low","conf_high","df","dfcom","m","within_variance","between_variance","mcse","rr"
"cancer_and_pain_vs_neither",0.254107096675291,0.0399469154701734,1.19019565495317,1.39667789388521,57.0965448530998,59,20,0.00159574964598979,6.10437275276581e-09,1.74705076525638e-05,1.28930987767539
"cancer_and_pain_vs_cancer_only",0.0353431755643976,0.0537122847645594,0.930335620390962,1.15361008178886,57.0965994730491,59,20,0.0028850007063603,8.40787506485204e-09,2.05035058768641e-05,1.03597516916686
"pain_only_vs_neither",0.201672567358816,0.0324130207647064,1.14656324206042,1.30548700092552,57.0961978597823,59,20,0.00105059331063876,1.00994805043312e-08,2.24716271154663e-05,1.22344734592417
"cancer_only_vs_neither",0.218763921110893,0.051239835661423,1.12317745920755,1.37901042209656,57.0966912933334,59,20,0.00262551694656791,3.63051593024824e-09,1.34731509496633e-05,1.24453743298912
"pain_only_vs_cancer_only",-0.0170913537520777,0.0486647576740201,0.891778693165204,1.08367123851361,57.0965463205953,59,20,0.00236824918787553,9.00151958506675e-09,2.12149942081853e-05,0.983053874872779
