"phenotype","estimate","se","conf_low","conf_high","df","dfcom","m","within_variance","between_variance","mcse"
"neither",0.0900187806965914,0.00204687906087456,0.0859201262527578,0.0941174351404249,57.0965290412758,59,20,4.18969590100857e-06,1.7132226800442e-11,9.25533003205233e-07
"cancer_only",0.126087630438655,0.00630875472466007,0.11345503026771,0.1387202306096,57.0966120160217,59,20,3.98002731279738e-05,1.07664711322903e-10,2.32018007192225e-06
"pain_only",0.119069329126215,0.00329696459692502,0.112467513270873,0.125671144981557,57.0965208973608,59,20,1.08699273319721e-05,4.5925147449163e-11,1.51534067867861e-06
"cancer_and_pain",0.141475657602699,0.00643539881488756,0.12858946418633,0.154361851019069,57.0961760656181,59,20,4.14139240764655e-05,4.13171610241367e-10,4.54517112021851e-06
