"variable","iteration","chain","value"
"current_smoking","6","Chain 3",1.22413793103448
"current_smoking","7","Chain 3",1.18965517241379
"current_smoking","8","Chain 3",1.17241379310345
"current_smoking","9","Chain 3",1.17241379310345
"current_smoking","10","Chain 3",1.12068965517241
"current_smoking","11","Chain 3",1.25862068965517
"current_smoking","12","Chain 3",1.10344827586207
"current_smoking","13","Chain 3",1.17241379310345
"current_smoking","14","Chain 3",1.22413793103448
"current_smoking","15","Chain 3",1.17241379310345
"current_smoking","16","Chain 3",1.22413793103448
"current_smoking","17","Chain 3",1.10344827586207
"current_smoking","18","Chain 3",1.22413793103448
"current_smoking","19","Chain 3",1.12068965517241
"current_smoking","20","Chain 3",1.13793103448276
"current_smoking","21","Chain 3",1.13793103448276
"current_smoking","22","Chain 3",1.22413793103448
"current_smoking","23","Chain 3",1.27586206896552
"current_smoking","24","Chain 3",1.31034482758621
"current_smoking","25","Chain 3",1.20689655172414
"current_smoking","26","Chain 3",1.1551724137931
"current_smoking","27","Chain 3",1.27586206896552
"current_smoking","28","Chain 3",1.22413793103448
"current_smoking","29","Chain 3",1.18965517241379
"current_smoking","30","Chain 3",1.18965517241379
"current_smoking","31","Chain 3",1.20689655172414
"current_smoking","32","Chain 3",1.17241379310345
"current_smoking","33","Chain 3",1.17241379310345
"current_smoking","34","Chain 3",1.20689655172414
"current_smoking","35","Chain 3",1.17241379310345
"current_smoking","36","Chain 3",1.12068965517241
"current_smoking","37","Chain 3",1.27586206896552
"current_smoking","38","Chain 3",1.22413793103448
"current_smoking","39","Chain 3",1.13793103448276
"current_smoking","40","Chain 3",1.24137931034483
"current_smoking","41","Chain 3",1.17241379310345
"current_smoking","42","Chain 3",1.20689655172414
"current_smoking","43","Chain 3",1.1551724137931
"current_smoking","44","Chain 3",1.24137931034483
"current_smoking","45","Chain 3",1.24137931034483
"current_smoking","46","Chain 3",1.08620689655172
"current_smoking","47","Chain 3",1.1551724137931
"current_smoking","48","Chain 3",1.20689655172414
"current_smoking","49","Chain 3",1.17241379310345
"current_smoking","50","Chain 3",1.20689655172414
"current_smoking","1","Chain 4",1.20689655172414
"current_smoking","2","Chain 4",1.22413793103448
"current_smoking","3","Chain 4",1.22413793103448
"current_smoking","4","Chain 4",1.18965517241379
"current_smoking","5","Chain 4",1.22413793103448
"current_smoking","6","Chain 4",1.17241379310345
"current_smoking","7","Chain 4",1.25862068965517
"current_smoking","8","Chain 4",1.29310344827586
"current_smoking","9","Chain 4",1.20689655172414
"current_smoking","10","Chain 4",1.13793103448276
"current_smoking","11","Chain 4",1.13793103448276
"current_smoking","12","Chain 4",1.25862068965517
"current_smoking","13","Chain 4",1.20689655172414
"current_smoking","14","Chain 4",1.31034482758621
"current_smoking","15","Chain 4",1.1551724137931
"current_smoking","16","Chain 4",1.22413793103448
"current_smoking","17","Chain 4",1.13793103448276
"current_smoking","18","Chain 4",1.22413793103448
"current_smoking","19","Chain 4",1.24137931034483
"current_smoking","20","Chain 4",1.20689655172414
"current_smoking","21","Chain 4",1.31034482758621
"current_smoking","22","Chain 4",1.20689655172414
"current_smoking","23","Chain 4",1.31034482758621
"current_smoking","24","Chain 4",1.17241379310345
"current_smoking","25","Chain 4",1.12068965517241
"current_smoking","26","Chain 4",1.17241379310345
"current_smoking","27","Chain 4",1.22413793103448
"current_smoking","28","Chain 4",1.25862068965517
"current_smoking","29","Chain 4",1.22413793103448
"current_smoking","30","Chain 4",1.22413793103448
"current_smoking","31","Chain 4",1.1551724137931
"current_smoking","32","Chain 4",1.24137931034483
"current_smoking","33","Chain 4",1.24137931034483
"current_smoking","34","Chain 4",1.1551724137931
"current_smoking","35","Chain 4",1.22413793103448
"current_smoking","36","Chain 4",1.17241379310345
"current_smoking","37","Chain 4",1.12068965517241
"current_smoking","38","Chain 4",1.18965517241379
"current_smoking","39","Chain 4",1.13793103448276
"current_smoking","40","Chain 4",1.25862068965517
"current_smoking","41","Chain 4",1.18965517241379
"current_smoking","42","Chain 4",1.13793103448276
"current_smoking","43","Chain 4",1.24137931034483
"current_smoking","44","Chain 4",1.17241379310345
"current_smoking","45","Chain 4",1.18965517241379
"current_smoking","46","Chain 4",1.20689655172414
"current_smoking","47","Chain 4",1.17241379310345
"current_smoking","48","Chain 4",1.22413793103448
"current_smoking","49","Chain 4",1.13793103448276
"current_smoking","50","Chain 4",1.12068965517241
"current_smoking","1","Chain 5",1.20689655172414
"current_smoking","2","Chain 5",1.12068965517241
"current_smoking","3","Chain 5",1.29310344827586
"current_smoking","4","Chain 5",1.13793103448276
"current_smoking","5","Chain 5",1.22413793103448
"current_smoking","6","Chain 5",1.20689655172414
"current_smoking","7","Chain 5",1.1551724137931
"current_smoking","8","Chain 5",1.27586206896552
"current_smoking","9","Chain 5",1.17241379310345
"current_smoking","10","Chain 5",1.25862068965517
"current_smoking","11","Chain 5",1.25862068965517
"current_smoking","12","Chain 5",1.22413793103448
"current_smoking","13","Chain 5",1.13793103448276
"current_smoking","14","Chain 5",1.24137931034483
"current_smoking","15","Chain 5",1.18965517241379
"current_smoking","16","Chain 5",1.13793103448276
"current_smoking","17","Chain 5",1.1551724137931
"current_smoking","18","Chain 5",1.24137931034483
"current_smoking","19","Chain 5",1.1551724137931
"current_smoking","20","Chain 5",1.20689655172414
"current_smoking","21","Chain 5",1.13793103448276
"current_smoking","22","Chain 5",1.22413793103448
"current_smoking","23","Chain 5",1.25862068965517
"current_smoking","24","Chain 5",1.22413793103448
"current_smoking","25","Chain 5",1.18965517241379
"current_smoking","26","Chain 5",1.1551724137931
"current_smoking","27","Chain 5",1.1551724137931
"current_smoking","28","Chain 5",1.20689655172414
"current_smoking","29","Chain 5",1.17241379310345
"current_smoking","30","Chain 5",1.13793103448276
"current_smoking","31","Chain 5",1.27586206896552
"current_smoking","32","Chain 5",1.22413793103448
"current_smoking","33","Chain 5",1.22413793103448
"current_smoking","34","Chain 5",1.20689655172414
"current_smoking","35","Chain 5",1.24137931034483
"current_smoking","36","Chain 5",1.22413793103448
"current_smoking","37","Chain 5",1.20689655172414
"current_smoking","38","Chain 5",1.25862068965517
"current_smoking","39","Chain 5",1.27586206896552
"current_smoking","40","Chain 5",1.24137931034483
"current_smoking","41","Chain 5",1.10344827586207
