"job","status"
"onset_symptoms","COMPLETED_REQUIRES_REVIEW"
"onset_composite","COMPLETED_REQUIRES_REVIEW"
"persistence_symptoms","COMPLETED_REQUIRES_REVIEW"
"persistence_composite","COMPLETED_REQUIRES_REVIEW"
