"phenotype","estimate","se","conf_low","conf_high","df","dfcom","m","within_variance","between_variance","mcse"
"neither",0.450862738636583,0.014278216258105,0.422272150919981,0.479453326353184,57.0964921118142,59,20,0.000203866452338403,9.5921410610922e-10,6.92536679934435e-06
"cancer_only",0.51694458336296,0.036982612882183,0.442890895243949,0.590998271481972,57.0966516607303,59,20,0.0013677107204236,2.79539981812788e-09,1.18224359125518e-05
"pain_only",0.559786843377128,0.00931699305095746,0.541130567327626,0.57844311942663,57.0961262662551,59,20,8.68053744771017e-05,9.38128083635712e-10,6.8488250219863e-06
"cancer_and_pain",0.56346329492296,0.0195956569010874,0.524225101762343,0.602701488083576,57.0962093426905,59,20,0.000383985970737907,3.61775926489748e-09,1.34494595893245e-05
