"contrast","estimate","se","conf_low","conf_high","df","dfcom","m","within_variance","between_variance","mcse"
"cancer_and_pain_vs_neither",0.0514568769061078,0.00658810217792169,0.0382649108908235,0.0646488429213921,57.0960657332838,59,20,4.34025517786177e-05,5.12883922632254e-10,5.06400988660298e-06
"cancer_and_pain_vs_cancer_only",0.0153880271640445,0.00897733707232248,-0.00258812213860727,0.0333641764666962,57.0964488910384,59,20,8.05921217507055e-05,4.37294657131955e-10,4.67597400084707e-06
"pain_only_vs_neither",0.0290505484296239,0.00362605763200344,0.0217897586414151,0.0363113382178327,57.0962882735021,59,20,1.31481820553885e-05,1.06566878012441e-10,2.30832058012357e-06
"cancer_only_vs_neither",0.0360688497420634,0.00608107562354734,0.0238921521446755,0.0482455473394512,57.0965592230828,59,20,3.69793415124125e-05,1.32597037298241e-10,2.57484987230558e-06
"pain_only_vs_cancer_only",-0.00701830131243944,0.00677088387242472,-0.0205762657457854,0.00653966312090648,57.0965067598417,59,20,4.5844653685609e-05,2.04503097329518e-10,3.19767960660162e-06
