"variable","distribution_exported","reason","observed_values_unchanged","imputed_values_complete"
"education3",FALSE,"SUPPRESSED_REVIEW_LOCALLY",TRUE,TRUE
"current_smoking",FALSE,"SUPPRESSED_REVIEW_LOCALLY",TRUE,TRUE
