"contrast","estimate","se","conf_low","conf_high","df","dfcom","m","within_variance","between_variance","mcse"
"cancer_and_pain_vs_neither",0.029007962791597,0.00615747150076199,0.0166782910428306,0.0413376345403634,57.0966335459476,59,20,3.79143618879681e-05,8.89473599993242e-11,2.10887837486333e-06
"cancer_and_pain_vs_cancer_only",0.0237942556501901,0.00683833917277487,0.0101012200998365,0.0374872912005437,57.0966694420895,59,20,4.67627968497896e-05,8.17067787648108e-11,2.02122213975618e-06
"pain_only_vs_neither",0.029322161050677,0.00359980408903313,0.0221139415906508,0.0365303805107033,57.096448109055,59,20,1.29585154730922e-05,7.04822166360642e-11,1.8772615246159e-06
"cancer_only_vs_neither",0.00521370714140686,0.00471710320905246,-0.00423178238301124,0.014659196665825,57.0967068428719,59,20,2.22510364378568e-05,2.49971391926027e-11,1.11797001732163e-06
"pain_only_vs_cancer_only",0.0241084539092702,0.00565423513342391,0.0127864585682345,0.0354304492503059,57.0966161805867,59,20,3.19702864680904e-05,8.42628141862673e-11,2.05259365421249e-06
