"variable","imputation","category","observed_percent","imputed_percent"
"current_smoking",1,"0",88.5698518633487,91.304347826087
"current_smoking",1,"1",11.4301481366513,8.69565217391304
"current_smoking",2,"0",88.5698518633487,91.6387959866221
"current_smoking",2,"1",11.4301481366513,8.36120401337793
"current_smoking",3,"0",88.5698518633487,90.3010033444816
"current_smoking",3,"1",11.4301481366513,9.69899665551839
"current_smoking",4,"0",88.5698518633487,86.9565217391304
"current_smoking",4,"1",11.4301481366513,13.0434782608696
"current_smoking",5,"0",88.5698518633487,86.9565217391304
"current_smoking",5,"1",11.4301481366513,13.0434782608696
"current_smoking",6,"0",88.5698518633487,90.6354515050167
"current_smoking",6,"1",11.4301481366513,9.36454849498328
"current_smoking",7,"0",88.5698518633487,90.3010033444816
"current_smoking",7,"1",11.4301481366513,9.69899665551839
"current_smoking",8,"0",88.5698518633487,87.9598662207358
"current_smoking",8,"1",11.4301481366513,12.0401337792642
"current_smoking",9,"0",88.5698518633487,90.6354515050167
"current_smoking",9,"1",11.4301481366513,9.36454849498328
"current_smoking",10,"0",88.5698518633487,89.9665551839465
"current_smoking",10,"1",11.4301481366513,10.0334448160535
"current_smoking",11,"0",88.5698518633487,91.304347826087
"current_smoking",11,"1",11.4301481366513,8.69565217391304
"current_smoking",12,"0",88.5698518633487,92.3076923076923
"current_smoking",12,"1",11.4301481366513,7.69230769230769
"current_smoking",13,"0",88.5698518633487,89.9665551839465
"current_smoking",13,"1",11.4301481366513,10.0334448160535
"current_smoking",14,"0",88.5698518633487,87.2909698996656
"current_smoking",14,"1",11.4301481366513,12.7090301003344
"current_smoking",15,"0",88.5698518633487,91.304347826087
"current_smoking",15,"1",11.4301481366513,8.69565217391304
"current_smoking",16,"0",88.5698518633487,88.628762541806
"current_smoking",16,"1",11.4301481366513,11.371237458194
"current_smoking",17,"0",88.5698518633487,88.9632107023411
"current_smoking",17,"1",11.4301481366513,11.0367892976589
"current_smoking",18,"0",88.5698518633487,88.9632107023411
"current_smoking",18,"1",11.4301481366513,11.0367892976589
"current_smoking",19,"0",88.5698518633487,89.9665551839465
"current_smoking",19,"1",11.4301481366513,10.0334448160535
"current_smoking",20,"0",88.5698518633487,89.6321070234114
"current_smoking",20,"1",11.4301481366513,10.3678929765886
