"variable","iteration","chain","value"
"current_smoking","22","Chain 3",1.12037037037037
"current_smoking","23","Chain 3",1.10802469135802
"current_smoking","24","Chain 3",1.08950617283951
"current_smoking","25","Chain 3",1.11111111111111
"current_smoking","26","Chain 3",1.10185185185185
"current_smoking","27","Chain 3",1.10802469135802
"current_smoking","28","Chain 3",1.09259259259259
"current_smoking","29","Chain 3",1.0679012345679
"current_smoking","30","Chain 3",1.09876543209877
"current_smoking","31","Chain 3",1.09876543209877
"current_smoking","32","Chain 3",1.08950617283951
"current_smoking","33","Chain 3",1.10185185185185
"current_smoking","34","Chain 3",1.09876543209877
"current_smoking","35","Chain 3",1.09876543209877
"current_smoking","36","Chain 3",1.08950617283951
"current_smoking","37","Chain 3",1.09567901234568
"current_smoking","38","Chain 3",1.08641975308642
"current_smoking","39","Chain 3",1.08641975308642
"current_smoking","40","Chain 3",1.10802469135802
"current_smoking","41","Chain 3",1.12962962962963
"current_smoking","42","Chain 3",1.08641975308642
"current_smoking","43","Chain 3",1.13271604938272
"current_smoking","44","Chain 3",1.08641975308642
"current_smoking","45","Chain 3",1.0679012345679
"current_smoking","46","Chain 3",1.10185185185185
"current_smoking","47","Chain 3",1.08024691358025
"current_smoking","48","Chain 3",1.09567901234568
"current_smoking","49","Chain 3",1.09259259259259
"current_smoking","50","Chain 3",1.11111111111111
"current_smoking","1","Chain 4",1.10493827160494
"current_smoking","2","Chain 4",1.1141975308642
"current_smoking","3","Chain 4",1.1141975308642
"current_smoking","4","Chain 4",1.09259259259259
"current_smoking","5","Chain 4",1.08333333333333
"current_smoking","6","Chain 4",1.10802469135802
"current_smoking","7","Chain 4",1.10802469135802
"current_smoking","8","Chain 4",1.09259259259259
"current_smoking","9","Chain 4",1.1141975308642
"current_smoking","10","Chain 4",1.09259259259259
"current_smoking","11","Chain 4",1.05555555555556
"current_smoking","12","Chain 4",1.10185185185185
"current_smoking","13","Chain 4",1.10493827160494
"current_smoking","14","Chain 4",1.08333333333333
"current_smoking","15","Chain 4",1.10802469135802
"current_smoking","16","Chain 4",1.09259259259259
"current_smoking","17","Chain 4",1.09876543209877
"current_smoking","18","Chain 4",1.08641975308642
"current_smoking","19","Chain 4",1.08641975308642
"current_smoking","20","Chain 4",1.07716049382716
"current_smoking","21","Chain 4",1.09259259259259
"current_smoking","22","Chain 4",1.08024691358025
"current_smoking","23","Chain 4",1.10493827160494
"current_smoking","24","Chain 4",1.09567901234568
"current_smoking","25","Chain 4",1.09259259259259
"current_smoking","26","Chain 4",1.09876543209877
"current_smoking","27","Chain 4",1.10493827160494
"current_smoking","28","Chain 4",1.07716049382716
"current_smoking","29","Chain 4",1.11728395061728
"current_smoking","30","Chain 4",1.1141975308642
"current_smoking","31","Chain 4",1.09567901234568
"current_smoking","32","Chain 4",1.09876543209877
"current_smoking","33","Chain 4",1.12962962962963
"current_smoking","34","Chain 4",1.10185185185185
"current_smoking","35","Chain 4",1.08333333333333
"current_smoking","36","Chain 4",1.10493827160494
"current_smoking","37","Chain 4",1.08024691358025
"current_smoking","38","Chain 4",1.12345679012346
"current_smoking","39","Chain 4",1.07716049382716
"current_smoking","40","Chain 4",1.08024691358025
"current_smoking","41","Chain 4",1.08024691358025
"current_smoking","42","Chain 4",1.10185185185185
"current_smoking","43","Chain 4",1.12345679012346
"current_smoking","44","Chain 4",1.12654320987654
"current_smoking","45","Chain 4",1.08950617283951
"current_smoking","46","Chain 4",1.0679012345679
"current_smoking","47","Chain 4",1.10185185185185
"current_smoking","48","Chain 4",1.09259259259259
"current_smoking","49","Chain 4",1.0679012345679
"current_smoking","50","Chain 4",1.08641975308642
"current_smoking","1","Chain 5",1.08024691358025
"current_smoking","2","Chain 5",1.09259259259259
"current_smoking","3","Chain 5",1.08024691358025
"current_smoking","4","Chain 5",1.08333333333333
"current_smoking","5","Chain 5",1.08950617283951
"current_smoking","6","Chain 5",1.09259259259259
"current_smoking","7","Chain 5",1.08950617283951
"current_smoking","8","Chain 5",1.08333333333333
"current_smoking","9","Chain 5",1.10802469135802
"current_smoking","10","Chain 5",1.08641975308642
"current_smoking","11","Chain 5",1.11728395061728
"current_smoking","12","Chain 5",1.08950617283951
"current_smoking","13","Chain 5",1.12345679012346
"current_smoking","14","Chain 5",1.07716049382716
"current_smoking","15","Chain 5",1.09259259259259
"current_smoking","16","Chain 5",1.1141975308642
"current_smoking","17","Chain 5",1.13888888888889
"current_smoking","18","Chain 5",1.08950617283951
"current_smoking","19","Chain 5",1.07716049382716
"current_smoking","20","Chain 5",1.1141975308642
"current_smoking","21","Chain 5",1.08641975308642
"current_smoking","22","Chain 5",1.11728395061728
"current_smoking","23","Chain 5",1.10185185185185
"current_smoking","24","Chain 5",1.09567901234568
"current_smoking","25","Chain 5",1.09567901234568
"current_smoking","26","Chain 5",1.08641975308642
"current_smoking","27","Chain 5",1.12962962962963
"current_smoking","28","Chain 5",1.07716049382716
"current_smoking","29","Chain 5",1.08333333333333
"current_smoking","30","Chain 5",1.08024691358025
"current_smoking","31","Chain 5",1.09567901234568
"current_smoking","32","Chain 5",1.10185185185185
"current_smoking","33","Chain 5",1.08950617283951
"current_smoking","34","Chain 5",1.12345679012346
"current_smoking","35","Chain 5",1.07098765432099
"current_smoking","36","Chain 5",1.11728395061728
"current_smoking","37","Chain 5",1.12345679012346
"current_smoking","38","Chain 5",1.09876543209877
