cohort,interaction_scale,estimand,n_intervals,events,estimate,conf_low,conf_high,p_value,log_estimate,se
HRS,multiplicative,ratio_of_risk_ratios,58132,4853,0.907935261422056,0.754194472451907,1.0930157526262,0.307563970924609,-0.0965822009159965,0.0946562404991748
HRS,additive,relative_excess_risk_due_to_interaction,58132,4853,-0.104537839664341,-0.349224624738644,0.140148945409961,0.402391449621541,,0.12484249047654
SHARE,multiplicative,ratio_of_risk_ratios,62160,10269,0.903974047617388,0.741270387198853,1.10239002242316,0.318697145208439,-0.100954627389899,0.101244308270037
SHARE,additive,relative_excess_risk_due_to_interaction,62160,10269,-0.0976383932538027,-0.340441609107049,0.145164822599443,0.430603239401993,,0.123881468112908
CHARLS,multiplicative,ratio_of_risk_ratios,15227,3519,1.5135399909808,0.849199547423928,2.69760306779175,0.159845012288355,0.41445127197879,0.294858659972581
CHARLS,additive,relative_excess_risk_due_to_interaction,15227,3519,0.457782216256319,-0.212065118573263,1.1276295510859,0.180419537278171,,0.341765124315167
