cohort,estimand,outcome,contrast,n_intervals,n_persons,estimate_sd,se,conf_low,conf_high,p_value,tau2,i2,q_p_value
Random-effects meta-analysis,onset,standardized_depressive_score_excluding_sleep_item,cancer_and_pain_vs_neither,129448,,0.156846625778247,0.0307990774248279,0.0243288912225468,0.289364360333948,0.0364630282894052,0.00260075669449082,54.785010546837,0.165922104966932
Random-effects meta-analysis,onset,standardized_depressive_score_excluding_sleep_item,cancer_and_pain_vs_cancer_only,129448,,0.11831985603782,0.0445611276022737,-0.073411201280817,0.310050913356458,0.117384003734908,0.00524793434526598,64.0963073963541,0.0812087109269986
Random-effects meta-analysis,onset,standardized_depressive_score_excluding_sleep_item,pain_only_vs_neither,129448,,0.184784486145898,0.0241672123776547,0.0808013638387474,0.288767608453049,0.0166782401314726,0.00122876984087837,73.1455920683305,0.0288891785976061
Random-effects meta-analysis,onset,standardized_depressive_score_excluding_sleep_item,cancer_only_vs_neither,129448,,0.0326236679421909,0.0133190086619821,-0.0246834010348432,0.0899307369192249,0.133981943888832,0,0,0.457399013016409
Random-effects meta-analysis,persistence,standardized_depressive_score_excluding_sleep_item,cancer_and_pain_vs_neither,36582,,0.220562758538928,0.00608244540502881,0.194392108213429,0.246733408864428,0.000759621067649879,0,0,0.962338108515073
Random-effects meta-analysis,persistence,standardized_depressive_score_excluding_sleep_item,cancer_and_pain_vs_cancer_only,36582,,0.161676822121839,0.0540609793582285,-0.0709287982867725,0.39428244253045,0.0959811623463624,0.00166891422684354,14.8247103445497,0.335277384592908
Random-effects meta-analysis,persistence,standardized_depressive_score_excluding_sleep_item,pain_only_vs_neither,36582,,0.176584996697254,0.0308618336162948,0.0437972440430291,0.309372749351478,0.0292128648725146,0.00180329342297583,67.1310709739171,0.057349628484485
Random-effects meta-analysis,persistence,standardized_depressive_score_excluding_sleep_item,cancer_only_vs_neither,36582,,0.0575650052274794,0.0547714762289698,-0.178097636481505,0.293227646936464,0.403513371664538,0.00291921284619032,27.1102044394068,0.278674966864606
