cohort,estimand,contrast,n_intervals,n_persons,events,log_rr,se,rr,conf_low,conf_high,p_value
HRS,onset,per_one_level_higher_pain_burden,58007,18917,4831,0.181878320576142,0.0193997039472777,1.19946823439622,1.15471735475534,1.24595342695825,6.89700155710455e-21
SHARE,onset,per_one_level_higher_pain_burden,62124,50957,10259,0.117313785343475,0.0189426919537618,1.12447221723878,1.08348943522179,1.16700516519855,5.89962319918517e-10
CHARLS,onset,per_one_level_higher_pain_burden,15206,9786,3513,0.118416531330056,0.0148000473444814,1.12571290842124,1.093527786659,1.15884531481171,1.23321215780224e-15
HRS,persistence,per_one_level_higher_pain_burden,9977,5637,5419,0.0767959161014255,0.0121626181591177,1.0798216796855,1.05438496202852,1.10587205044686,2.71748480057436e-10
SHARE,persistence,per_one_level_higher_pain_burden,21535,19553,12110,0.0565535496781938,0.011174842188895,1.05818327865709,1.03525861125722,1.08161558769324,4.17518945848742e-07
CHARLS,persistence,per_one_level_higher_pain_burden,8501,6010,5060,0.0480545296402356,0.00808321384022959,1.04922786778272,1.032736134742,1.0659829568246,2.76493739378261e-09
