"contrast","log_rr","se","rr","conf_low","conf_high","p_value","df","m","within_variance","between_variance","mcse_log_rr","n_intervals","n_persons","events"
"cancer_and_pain_vs_neither",0.220115626852193,0.049290314191093,1.24622081884741,1.13145949320558,1.37262212094633,7.98083546942393e-06,15872792129348.8,20,0.00242953241494446,2.53153543049553e-09,1.125063427211e-05,10087,5679,5481
"cancer_and_pain_vs_cancer_only",0.0831366032028475,0.0786666645020779,1.08669024377745,0.9314179039422,1.26784731206366,0.290593171330794,28743873616272.5,20,0.00618843907251978,4.7917739994547e-09,1.54786530412932e-05,10087,5679,5481
"pain_only_vs_neither",0.215445057059319,0.0359451287029621,1.24041382906742,1.15603251773223,1.33095431464159,2.05093673159383e-09,74319736039.9448,20,0.00129203161868602,1.96750347493901e-08,3.13648168728833e-05,10087,5679,5481
"cancer_only_vs_neither",0.136979023649346,0.0731477084621009,1.14680409250332,0.993632508455888,1.32358755917329,0.0611186826991334,57203217786895.1,20,0.00535058416958561,2.93682942145477e-09,1.21178162666686e-05,10087,5679,5481
"pain_only_vs_cancer_only",0.0784660334099734,0.070929069186259,1.08162661537051,0.941244458139316,1.24294610710442,0.268613747507931,529355777820.17,20,0.00503090271505692,2.87053068507823e-08,3.78848959684347e-05,10087,5679,5481
